
City	FAA	IATA	ICAO	Airport	Role	Enplanements
Idaho Falls	IDA	IDA	KIDA	Idaho Falls Regional Airport (Fanning Field)	P-N	144,365
Lewiston	LWS	LWS	KLWS	Lewiston-Nez Perce County Airport	P-N	61,737
Pocatello / Arbon Valley	PIH	PIH	KPIH	Pocatello Regional Airport	P-N	20,825
Twin Falls	TWF	TWF	KTWF	Magic Valley Regional Airport (Joslin Field)	P-N	35,576
ILLINOIS						
Bloomington / Normal	BMI	BMI	KBMI	Central Illinois Regional Airport at Bloomington-Normal	P-N	274,677
Champaign / Urbana	CMI	CMI	KCMI	University of Illinois - Willard Airport	P-N	85,715
Chicago	ORD	ORD	KORD	Chicago O'Hare International Airport	P-L	32,171,831
Chicago	MDW	MDW	KMDW	Chicago Midway International Airport	P-L	8,518,957
Moline	MLI	MLI	KMLI	Quad City International Airport	P-S	477,086
Peoria	PIA	PIA	KPIA	General Downing - Peoria International Airport
(was Greater Peoria Regional Airport)	P-N	249,595
Rockford	RFD	RFD	KRFD	Chicago Rockford International Airport	P-N	96,974
Springfield	SPI	SPI	KSPI	Abraham Lincoln Capital Airport	P-N	61,413
INDIANA						
Evansville	EVV	EVV	KEVV	Evansville Regional Airport	P-N	169,967
Fort Wayne	FWA	FWA	KFWA	Fort Wayne International Airport	P-N	273,056
Indianapolis	IND	IND	KIND	Indianapolis International Airport	P-M	3,728,698
South Bend	SBN	SBN	KSBN	South Bend Airport (was South Bend Regional)	P-N	317,096
IOWA						
Cedar Rapids	CID	CID	KCID	The Eastern Iowa Airport	P-S	431,874
Des Moines	DSM	DSM	KDSM	Des Moines International Airport	P-S	1,018,004
Dubuque	DBQ	DBQ	KDBQ	Dubuque Regional Airport	P-N	36,148
Fort Dodge	FOD	FOD	KFOD	Fort Dodge Regional Airport	P-N [nb 7]	10,866
Mason City	MCW	MCW	KMCW	Mason City Municipal Airport	P-N	11,594
Sioux City	SUX	SUX	KSUX	Sioux Gateway Airport (Col. Bud Day Field)	P-N	28,137
Waterloo	ALO	ALO	KALO	Waterloo Regional Airport	P-N	22,297
KANSAS						
Garden City	GCK	GCK	KGCK	Garden City Regional Airport	P-N	10,155
Topeka	FOE	FOE	KFOE	Forbes Field (airport)	P-N	
Manhattan	MHK	MHK	KMHK	Manhattan Regional Airport	P-N	44,603
Wichita	ICT	ICT	KICT	Wichita Mid-Continent Airport	P-S	751,601
KENTUCKY						
Covington	CVG	CVG	KCVG	Cincinnati/Northern Kentucky International Airport	P-M	3,906,826
Lexington	LEX	LEX	KLEX	Blue Grass Airport	P-S	539,492
